id,name,type,display_type,activity_type_display_name,private,bike_id,athlete_gear_id,start_date,start_date_local_raw,start_time,start_day,distance,distance_raw,long_unit,short_unit,moving_time,moving_time_raw,elapsed_time,elapsed_time_raw,trainer,static_map,has_latlng,commute,elevation_gain,elevation_unit,elevation_gain_raw,description,activity_url,activity_url_for_twitter,twitter_msg,is_new,is_changing_type,suffer_score,workout_type,flagged,hide_power,hide_heartrate,leaderboard_opt_out,visibility
3961444270,Funcional,Workout,Treino,Treino,false,,,"seg, 24/08/2020",1598282582,2020-08-24T22:23:02+0000,Mon,0,0,quilômetros,km,1:02:14,3734,1:02:14,3734,true,,false,,0,m,0,,https://www.strava.com/activities/3961444270,https://www.strava.com/activities/3961444270?utm_content=39948062&utm_medium=referral&utm_source=twitter,saí para um(a) Treino de 0 quilômetro.,true,false,18,,false,false,false,false,everyone
3943062046,Caminhada pós corrida,Walk,Caminhada,Caminhada,false,,,"qui, 20/08/2020",1597954914,2020-08-20T23:21:54+0000,Thu,"1,03",1034.1,quilômetros,km,12:03,723,12:03,723,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/DWWQ5XJAXNTT2PDDZGXWCRDND27N7WSLTWCDRQJNPCRZYFNIPJVAFMGPBU6YZDVSGLKY4WTAH7ZEFL6WEAD3AHVRZCAWZAII,true,,51,m,50.8,,https://www.strava.com/activities/3943062046,https://www.strava.com/activities/3943062046?utm_content=39948062&utm_medium=referral&utm_source=twitter,"saí para um(a) Caminhada de 1,0 quilômetro.",true,false,5,,false,false,false,false,everyone
3943061842,Corrida na UFPE,Run,Corrida,Corrida,false,,,"qui, 20/08/2020",1597952756,2020-08-20T22:45:56+0000,Thu,"5,01",5018.9,quilômetros,km,34:22,2062,34:22,2062,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/TPJSEWMVYFUDKTVTNHE55WLAZHHASVQ7GNVOXWTUYDWZJZXWLH42YI7UBGKUASSQZ6IZHQ74DW6YGSYQOUXMZVW3KZJZ4CUY,true,,129,m,128.5,,https://www.strava.com/activities/3943061842,https://www.strava.com/activities/3943061842?utm_content=39948062&utm_medium=referral&utm_source=twitter,"saí para um(a) Corrida de 5,0 quilômetro.",true,false,101,,false,false,false,false,everyone
3943061409,Caminhada de aquecimento,Walk,Caminhada,Caminhada,false,,,"qui, 20/08/2020",1597952146,2020-08-20T22:35:46+0000,Thu,"1,02",1024.1,quilômetros,km,9:31,571,9:31,571,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/WPRODEH7B4VRYMVHEZCIQJYKGJQQWQECFULOWMXKNWMT3JHZYN2YRHLYUAWFWXVDAKVAMMYKLM4ZB7VSBWBW3DEN5GYOB5YZ,true,,48,m,48.2,,https://www.strava.com/activities/3943061409,https://www.strava.com/activities/3943061409?utm_content=39948062&utm_medium=referral&utm_source=twitter,"saí para um(a) Caminhada de 1,0 quilômetro.",true,false,10,,false,false,false,false,everyone
3933478863,Corrida na UFPE,Run,Corrida,Corrida,false,,,"ter, 18/08/2020",1597779684,2020-08-18T22:41:24+0000,Tue,"5,02",5024.5,quilômetros,km,37:25,2245,37:32,2252,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/KP34765FYB3VBXGE72MN3Y2JJ6V4IJVJUYLHO3ZNWQNT3EUMZKMNJZPXANDAYNEY53K2NJKLGCOUWAAATVPVZVCVESCJ37CU,true,,91,m,90.7,,https://www.strava.com/activities/3933478863,https://www.strava.com/activities/3933478863?utm_content=39948062&utm_medium=referral&utm_source=twitter,"saí para um(a) Corrida de 5,0 quilômetro.",true,false,98,,false,false,false,false,everyone
3933478291,Caminhada de aquecimento,Walk,Caminhada,Caminhada,false,,,"ter, 18/08/2020",1597778895,2020-08-18T22:28:15+0000,Tue,"1,27",1276.7,quilômetros,km,12:32,752,12:32,752,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/BKWX5BLQO2D4F4ZPLYSVXZDTWQFU7N6LN2EOZ4UFYKQKGGG4K4XSXEWRBJ4YMWELRMF4QUD7AGWS2SFBBYPAZKYBZ7PVAPRL,true,,27,m,27.2,,https://www.strava.com/activities/3933478291,https://www.strava.com/activities/3933478291?utm_content=39948062&utm_medium=referral&utm_source=twitter,"saí para um(a) Caminhada de 1,2 quilômetro.",true,false,6,,false,false,false,false,everyone
3928588575,Funcional,Workout,Treino,Treino,false,,,"seg, 17/08/2020",1597676602,2020-08-17T22:03:22+0000,Mon,0,0,quilômetros,km,1:07:20,4040,1:07:20,4040,true,,false,,0,m,0,,https://www.strava.com/activities/3928588575,https://www.strava.com/activities/3928588575?utm_content=39948062&utm_medium=referral&utm_source=twitter,saí para um(a) Treino de 0 quilômetro.,true,false,11,,false,false,false,false,everyone
3926042159,Caminhada na UFPE,Walk,Caminhada,Caminhada,false,,,"dom, 16/08/2020",1597581790,2020-08-16T15:43:10+0000,Sun,"5,40",5400,quilômetros,km,53:24,3204,53:43,3223,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/I34RD5RFTVMRJUD4HLYA7IR2XIMXYXDA3SGY7RKKVVHEVQHLVWTFJ6JPOTYRTT7PY2TAWOQCF2HTIDQODQKP367L6OVBYL5J,true,,4,m,4.04444,,https://www.strava.com/activities/3926042159,https://www.strava.com/activities/3926042159?utm_content=39948062&utm_medium=referral&utm_source=twitter,"saí para um(a) Caminhada de 5,4 quilômetro.",true,false,56,,false,false,false,false,everyone
3909373532,Corrida na UFPE,Run,Corrida,Corrida,false,,,"qui, 13/08/2020",1597345409,2020-08-13T22:03:29+0000,Thu,"5,03",5032.8,quilômetros,km,35:46,2146,35:46,2146,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/OZVTC4H5JHFPUTGIQZJVFRUHA5A24BNBOXAE465UJJGCHVZT4LAYXEPA4X4U4F2W3XAGATF4ACIAUR4AGKGBSUWQCWGDVSVS,true,,92,m,91.6,,https://www.strava.com/activities/3909373532,https://www.strava.com/activities/3909373532?utm_content=39948062&utm_medium=referral&utm_source=twitter,"saí para um(a) Corrida de 5,0 quilômetro.",true,false,74,,false,false,false,false,everyone
3911860778,Caminhada de aquecimento,Walk,Caminhada,Caminhada,false,,,"qui, 13/08/2020",1597344070,2020-08-13T21:41:10+0000,Thu,"2,00",2000,quilômetros,km,20:37,1237,20:37,1237,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/3M6URDUAWL73TUDATC2RNJEFZQGTIOXGM5GMBODDMG7QVV4OLMDS6AULQUSZHCUYLNF2QJZSRXO66NIBYIOSIZSMT6LT6NRF,true,,0,m,0,,https://www.strava.com/activities/3911860778,https://www.strava.com/activities/3911860778?utm_content=39948062&utm_medium=referral&utm_source=twitter,"saí para um(a) Caminhada de 2,0 quilômetro.",true,false,33,,false,false,false,false,everyone
