Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
3787449134,"Jun 25, 2020, 8:25:42 PM",Corrida,Run,,2748,2.50,183.0,21,false,,,activities/4047967243.tcx.gz,,,2748.0,1653.0,2500.0,2.9000000953674316,1.5124017000198364,23.88888931274414,23.188888549804688,252.5,265.29998779296875,3.5999999046325684,0.02800000086426735,,,,,,139.83424377441406,,,632.0,,,21.0,,,,,,,,,,,,,0.0,,1.0,2526.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3787451685,"Jun 20, 2020, 9:33:58 PM",Corrida,Run,,3782,6.87,193.0,103,false,,,activities/4047970063.tcx.gz,,,3782.0,3731.0,6870.0,2.700000047683716,1.8413294553756714,3.440000057220459,3.140000104904175,10.699999809265137,14.199999809265137,3.5999999046325684,0.0043668122962117195,,,,,,151.76976013183594,,,947.0,,,103.0,,,,,,,,,,,,,0.0,,1.0,6877.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3787457310,"Jun 19, 2020, 10:40:00 PM",Funcional,Workout,"",6296,0.68,171.0,28,false,,,activities/4047976518.tcx.gz,,,6296.0,6296.0,679.0,7.599999904632568,0.10784625262022018,0.0,,,,0.0,0.0,,,,,,105.9161376953125,,,842.0,,,28.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3787464688,"Jun 18, 2020, 10:04:38 PM",Funcional,Workout,"",3557,0.34,158.0,12,false,,,activities/4047984934.tcx.gz,,,3557.0,3557.0,348.0,8.600000381469727,0.09783525764942169,0.0,,,,0.0,0.0,,,,,,112.59010314941406,,,477.0,,,12.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3787473079,"Jun 16, 2020, 9:49:22 PM",Corrida,Run,,2297,5.02,188.0,73,false,,,activities/4047994256.tcx.gz,,,2297.0,2292.0,5020.0,3.0,2.1902267932891846,0.0,0.30000001192092896,10.800000190734863,11.600000381469727,5.0,-0.005976095795631409,,,,,,157.42233276367188,,,613.0,,,73.0,,,,,,,,,,,,,0.0,,1.0,5024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3787518871,"Jun 13, 2020, 9:11:39 PM",Corrida,Run,,3081,5.83,189.0,124,false,,,activities/4048046311.tcx.gz,,,3081.0,3065.0,5830.0,3.5,1.9021207094192505,3.2674999237060547,3.067500114440918,10.800000190734863,14.199999809265137,3.700000047683716,0.0034305318258702755,,,,,,164.96932983398438,,,874.0,,,124.0,,,,,,,,,,,,,0.0,,1.0,5835.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3787546075,"Jun 15, 2020, 9:33:00 PM",Funcional,Workout,"",4716,0.49,164.0,22,false,,,activities/4048076477.tcx.gz,,,4716.0,4716.0,491.0,5.5,0.10411365330219269,0.0,,,,0.0,0.0,,,,,,113.49003601074219,,,709.0,,,22.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3787547676,"Jun 12, 2020, 9:41:21 PM",Corrida,Run,,4570,7.81,188.0,124,false,,,activities/4048078635.tcx.gz,,,4570.0,4377.0,7810.0,6.300000190734863,1.7843271493911743,3.430000066757202,3.3299999237060547,10.699999809265137,14.199999809265137,2.799999952316284,0.001280409749597311,,,,,,154.43820190429688,,,1152.0,,,124.0,,,,,,,,,,,,,0.0,,1.0,7817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3787551351,"Jun 9, 2020, 10:01:02 PM",Corrida,Run,,3021,5.41,181.0,59,false,,,activities/4048082974.tcx.gz,,,3021.0,2896.0,5410.0,3.0,1.8680939674377441,5.866666793823242,5.766666889190674,10.699999809265137,14.199999809265137,2.9000000953674316,0.0018484288593754172,,,,,,145.51795959472656,,,707.0,,,59.0,,,,,,,,,,,,,0.0,,1.0,5416.7998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3787558048,"Jun 10, 2020, 11:48:19 PM",Funcional,Workout,"",2589,0.06,154.0,8,false,,,activities/4048090587.tcx.gz,,,2589.0,2589.0,66.0,4.599999904632568,0.0254924688488245,0.0,,,,0.0,0.0,,,,,,106.67130279541016,,,347.0,,,8.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3787559304,"Jun 6, 2020, 10:19:47 PM",Funcional,Workout,"",3557,0.41,157.0,18,false,,,activities/4048092195.tcx.gz,,,3557.0,3557.0,409.0,9.399999618530273,0.11498453468084335,0.0,,,,0.0,0.0,,,,,,118.21703338623047,,,594.0,,,18.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3787563212,"Jun 5, 2020, 10:53:00 PM",Funcional,Workout,"",2925,0.03,157.0,10,false,,,activities/4048096629.tcx.gz,,,2925.0,2925.0,35.0,2.799999952316284,0.011965812183916569,0.0,,,,0.0,0.0,,,,,,109.32615661621094,,,392.0,,,10.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3787569364,"Jun 3, 2020, 11:02:00 PM",Funcional,Workout,"",3891,0.13,141.0,12,false,,,activities/4048103610.tcx.gz,,,3891.0,3891.0,137.0,9.199999809265137,0.03520945832133293,0.0,,,,0.0,0.0,,,,,,109.64405059814453,,,521.0,,,12.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3787572592,"May 31, 2020, 2:36:47 PM",Corrida,Run,,4528,7.14,184.0,53,false,,,activities/4048107193.tcx.gz,,,4528.0,4158.0,7140.0,6.400000095367432,1.7171716690063477,3.174999952316284,3.375,10.699999809265137,14.800000190734863,3.5999999046325684,-0.002801120514050126,,,,,,141.6282501220703,,,982.0,,,53.0,,,,,,,,,,,,,0.0,,1.0,7148.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3787575323,"Jun 1, 2020, 10:38:00 PM",Funcional,Workout,"",5504,0.97,171.0,36,false,,,activities/4048110089.tcx.gz,,,5504.0,5504.0,977.0,9.0,0.17750726640224457,0.0,,,,0.0,0.0,,,,,,121.06977081298828,,,920.0,,,36.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3787590991,"May 29, 2020, 9:46:44 PM",Funcional,Workout,"",3730,0.30,139.0,9,false,,,activities/4048127899.tcx.gz,,,3730.0,3730.0,306.0,8.0,0.0820375308394432,0.0,,,,0.0,0.0,,,,,,98.98847198486328,,,438.0,,,9.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3787600597,"May 28, 2020, 9:20:35 PM",Corrida,Run,,3200,6.34,193.0,126,false,,,activities/4048138807.tcx.gz,,,3200.0,3177.0,6340.0,3.299999952316284,1.9955933094024658,8.087400436401367,7.987401008605957,10.699999809265137,14.199999809265137,3.9000000953674316,0.0015772870974615216,,,,,,163.00912475585938,,,907.0,,,126.0,,,,,,,,,,,,,0.0,,1.0,6350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
